epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
159,9412.36,0.86025,0.40911,0.89284,0.98806,0.9928,0.99368,0.6958,1.01952,0.36754,0.82235,5.26e-05,5.26e-05,5.26e-05
160,9471.42,0.86327,0.4136,0.89487,0.98805,0.9928,0.99369,0.69591,1.01848,0.36708,0.82203,5.23e-05,5.23e-05,5.23e-05
161,9530.79,0.85775,0.40672,0.89472,0.98792,0.99295,0.9937,0.69602,1.01763,0.36721,0.82187,5.2e-05,5.2e-05,5.2e-05
162,9590.15,0.85713,0.40918,0.89375,0.98796,0.99292,0.9937,0.69643,1.01661,0.36659,0.82145,5.17e-05,5.17e-05,5.17e-05
163,9649.27,0.85074,0.40775,0.89161,0.988,0.9929,0.99369,0.69725,1.01554,0.36618,0.82112,5.14e-05,5.14e-05,5.14e-05
164,9708.65,0.85135,0.40546,0.89004,0.98803,0.99287,0.9937,0.69806,1.0138,0.36602,0.82073,5.11e-05,5.11e-05,5.11e-05
165,9767.81,0.8501,0.4071,0.88648,0.98824,0.99281,0.99372,0.69882,1.01271,0.36553,0.82033,5.08e-05,5.08e-05,5.08e-05
166,9826.83,0.84401,0.40815,0.89317,0.98887,0.993,0.99375,0.69935,1.01191,0.36549,0.82014,5.05e-05,5.05e-05,5.05e-05
167,9885.83,0.83772,0.40206,0.88933,0.98866,0.99329,0.99376,0.70006,1.01087,0.3648,0.81985,5.02e-05,5.02e-05,5.02e-05
168,9944.91,0.83901,0.40171,0.8871,0.989,0.99266,0.99378,0.70019,1.00979,0.36446,0.8196,4.99e-05,4.99e-05,4.99e-05
169,10004,0.84274,0.40276,0.88971,0.98895,0.99283,0.99379,0.70082,1.00851,0.36368,0.81936,4.96e-05,4.96e-05,4.96e-05
170,10063.1,0.83738,0.40187,0.88678,0.98891,0.99278,0.99378,0.70046,1.00729,0.36318,0.81899,4.93e-05,4.93e-05,4.93e-05
